<NUMBER OF NODES> 	10538
<NUMBER OF LINKS> 	28178
<END OF METADATA>		


~ 	Tail 	Head 	: 	Volume 	Cost 	; 
	3383 	4947 	: 	0 	22.8764 	; 
	3384 	397 	: 	69.0419 	42.5345 	; 
	3384 	3383 	: 	0 	19.9838 	; 
	3385 	1805 	: 	191.8 	1.11583 	; 
	3385 	4887 	: 	208.6 	6.48877 	; 
	3385 	5426 	: 	0 	inf 	; 
	3385 	10250 	: 	0 	0.59587 	; 
	3386 	1476 	: 	6639.04 	0.503965 	; 
	3386 	2743 	: 	0 	inf 	; 
	3387 	2736 	: 	0 	inf 	; 
	3387 	3212 	: 	8664.91 	10.4142 	; 
	3387 	3388 	: 	0 	inf 	; 
	3388 	1393 	: 	0 	inf 	; 
	3388 	3387 	: 	8208.11 	41.6597 	; 
	3388 	8241 	: 	2837.61 	66.2031 	; 
	3389 	87 	: 	0 	inf 	; 
	3389 	1834 	: 	10100.3 	21.3976 	; 
	3390 	240 	: 	8795.97 	39.0445 	; 
	3390 	1834 	: 	0 	inf 	; 
	3390 	4763 	: 	1304.38 	30.3139 	; 
	3391 	3139 	: 	147.533 	1.25799 	; 
	3391 	3241 	: 	77.2667 	14.317 	; 
	3391 	9066 	: 	0 	inf 	; 
	3392 	1999 	: 	157.467 	0.293739 	; 
	3392 	2004 	: 	0 	inf 	; 
	3392 	4546 	: 	68 	10.9084 	; 
	3392 	10519 	: 	265 	46.8389 	; 
	3393 	2008 	: 	154.933 	13.1262 	; 
	3393 	2009 	: 	280.194 	0.872655 	; 
	3393 	4832 	: 	0 	inf 	; 
	3393 	5877 	: 	57 	23.3375 	; 
	3394 	2908 	: 	0 	inf 	; 
	3394 	3396 	: 	2595.1 	1.05792 	; 
	3394 	3397 	: 	24 	16.8843 	; 
	3394 	3398 	: 	0 	inf 	; 
	3395 	1975 	: 	0 	inf 	; 
	3395 	3396 	: 	0 	inf 	; 
	3395 	3398 	: 	1487.9 	0.975122 	; 
	3395 	3402 	: 	93.2 	11.9921 	; 
	3396 	1975 	: 	2531.9 	2.59985 	; 
	3396 	3139 	: 	0 	inf 	; 
	3396 	3394 	: 	0 	inf 	; 
	3396 	3395 	: 	210.733 	1.24861 	; 
	3397 	3139 	: 	0 	inf 	; 
	3397 	3394 	: 	0 	inf 	; 
	3397 	9065 	: 	82 	24.6119 	; 
	3398 	2909 	: 	1487.9 	5.06823 	; 
	3398 	3394 	: 	0 	1.26248 	; 
	3398 	3395 	: 	0 	inf 	; 
	3398 	3402 	: 	0 	inf 	; 
	3399 	2009 	: 	0 	inf 	; 
	3399 	2010 	: 	239.333 	5.10308 	; 
	3399 	9067 	: 	188.333 	9.30822 	; 
	3399 	9068 	: 	0 	inf 	; 
	3400 	1999 	: 	241 	0.506455 	; 
	3400 	2005 	: 	271.933 	35.2137 	; 
	3400 	6959 	: 	146.133 	4.13659 	; 
	3400 	9198 	: 	0 	inf 	; 
	3401 	2877 	: 	144.133 	24.3198 	; 
	3401 	3403 	: 	93 	0.730261 	; 
	3401 	3404 	: 	12 	2.03966 	; 
	3401 	5876 	: 	0 	inf 	; 
	3402 	3395 	: 	0 	inf 	; 
	3402 	3398 	: 	0 	11.136 	; 
	3402 	9199 	: 	93.2 	13.8831 	; 
	3403 	2014 	: 	125 	11.946 	; 
	3403 	3200 	: 	12 	39.2019 	; 
	3403 	3401 	: 	52 	0.730204 	; 
	3403 	3404 	: 	0 	2.07477 	; 
	3404 	3401 	: 	0 	2.03966 	; 
	3404 	3403 	: 	44 	2.07478 	; 
	3404 	6912 	: 	12 	37.8742 	; 
	3405 	3406 	: 	547.333 	24.7822 	; 
	3406 	3405 	: 	113.333 	22.4545 	; 
	3406 	6693 	: 	163.4 	16.5397 	; 
	3406 	6695 	: 	403.933 	90.4144 	; 
	3407 	4289 	: 	581 	82.9239 	; 
	3408 	4882 	: 	769.825 	0.407264 	; 
	3408 	4883 	: 	98.9333 	0.486082 	; 
	3409 	3752 	: 	196 	7.47739 	; 
	3409 	6234 	: 	1114.27 	26.4493 	; 
	3409 	7292 	: 	2628.5 	7.91333 	; 
	3409 	7752 	: 	4088.67 	29.4119 	; 
	3410 	2027 	: 	2539.18 	13.0111 	; 
	3410 	5308 	: 	62.9333 	13.3666 	; 
	3410 	10396 	: 	8 	3.63962 	; 
	3411 	3573 	: 	0 	inf 	; 
	3411 	5041 	: 	114.6 	9.66382 	; 
	3411 	6825 	: 	0 	inf 	; 
	3411 	8762 	: 	3012.84 	9.15708 	; 
	3412 	2841 	: 	1228.27 	2.05032 	; 
	3412 	5113 	: 	0 	inf 	; 
	3413 	2290 	: 	202.2 	2.07521 	; 
	3413 	2843 	: 	817.569 	7.62345 	; 
	3413 	4031 	: 	124.6 	8.22456 	; 
	3413 	8537 	: 	0 	inf 	; 
	3413 	9055 	: 	8 	23.8048 	; 
	3414 	2300 	: 	0 	inf 	; 
	3414 	2305 	: 	258.2 	17.0004 	; 
	3414 	4555 	: 	997.095 	10.2301 	; 
	3415 	1920 	: 	0 	inf 	; 
	3415 	5094 	: 	362.854 	10.8029 	; 
	3415 	10203 	: 	4957.67 	8.67463 	; 
	3416 	3263 	: 	900 	5.78112 	; 
	3416 	3571 	: 	4292.54 	2.75221 	; 
	3416 	4589 	: 	3180.58 	8.18325 	; 
	3416 	8762 	: 	0 	inf 	; 
	3417 	606 	: 	7488.25 	1.53539 	; 
	3417 	2324 	: 	0 	inf 	; 
	3418 	535 	: 	2644.07 	8.95237 	; 
	3418 	5125 	: 	0 	inf 	; 
	3418 	10396 	: 	1629.01 	15.9619 	; 
	3419 	5126 	: 	0 	inf 	; 
	3419 	10249 	: 	12287.2 	3.03763 	; 
	3420 	587 	: 	218.867 	2.49695 	; 
	3420 	3551 	: 	983.895 	9.03431 	; 
	3420 	4554 	: 	1284.29 	0.815212 	; 
	3420 	8768 	: 	494.688 	11.2667 	; 
	3421 	2103 	: 	6627.3 	24.1972 	; 
	3421 	2107 	: 	168.228 	11.5766 	; 
	3421 	3102 	: 	0 	inf 	; 
	3422 	3239 	: 	2142.89 	18.7078 	; 
	3422 	3423 	: 	726.25 	7.26155 	; 
	3422 	3435 	: 	233.6 	31.7755 	; 
	3422 	9777 	: 	808.82 	21.9923 	; 
	3423 	3422 	: 	1683.26 	7.26806 	; 
	3423 	3434 	: 	574.5 	39.9585 	; 
	3423 	4456 	: 	1442.05 	51.9806 	; 
	3424 	6675 	: 	1065.05 	2.79603 	; 
	3424 	6723 	: 	0 	inf 	; 
	3424 	6887 	: 	2914.59 	20.0718 	; 
	3425 	3426 	: 	402.339 	15.9064 	; 
	3425 	4946 	: 	553.842 	29.7443 	; 
	3426 	3425 	: 	553.842 	15.9459 	; 
	3426 	9587 	: 	492.539 	40.0446 	; 
	3427 	6443 	: 	0 	7.31554 	; 
	3428 	2238 	: 	0 	inf 	; 
	3428 	2586 	: 	3190.73 	25.3862 	; 
	3428 	2587 	: 	0 	2.38638 	; 
	3429 	1503 	: 	0 	inf 	; 
	3429 	3430 	: 	149.296 	4.85446 	; 
	3429 	7066 	: 	1057.59 	17.5991 	; 
	3430 	1503 	: 	0 	inf 	; 
	3430 	3429 	: 	0 	inf 	; 
	3430 	3431 	: 	441.017 	1.77921 	; 
	3431 	3430 	: 	0 	inf 	; 
	3431 	3432 	: 	441.017 	7.68369 	; 
	3432 	3431 	: 	0 	inf 	; 
	3432 	3433 	: 	441.017 	0.533581 	; 
	3433 	1502 	: 	109.6 	0.743118 	; 
	3433 	3432 	: 	0 	inf 	; 
	3433 	4429 	: 	0 	inf 	; 
	3433 	7067 	: 	473.15 	9.71674 	; 
	3434 	3423 	: 	715.8 	40.8643 	; 
	3434 	3435 	: 	821.62 	12.8636 	; 
	3434 	4323 	: 	696.448 	34.0318 	; 
	3435 	2628 	: 	0 	35.9184 	; 
	3435 	3053 	: 	0 	inf 	; 
	3435 	3422 	: 	712.42 	32.9886 	; 
	3435 	3434 	: 	384.382 	12.08 	; 
	3435 	5298 	: 	272.2 	16.1396 	; 
	3436 	3211 	: 	9785.47 	22.9521 	; 
	3436 	4025 	: 	285.011 	23.0101 	; 
	3436 	8248 	: 	0 	inf 	; 
	3437 	2156 	: 	831.065 	8.41092 	; 
	3437 	2887 	: 	2216.88 	5.90486 	; 
	3437 	3438 	: 	807.302 	24.3704 	; 
	3438 	224 	: 	0 	inf 	; 
	3438 	3437 	: 	0 	inf 	; 
	3438 	8250 	: 	9773.71 	7.32669 	; 
	3439 	5188 	: 	87.6 	30.0967 	; 
	3439 	9774 	: 	0 	inf 	; 
	3439 	9775 	: 	140 	4.77157 	; 
	3439 	9776 	: 	0 	inf 	; 
	3440 	3443 	: 	575.065 	23.5487 	; 
	3440 	3444 	: 	616.558 	30.9042 	; 
	3440 	6718 	: 	114.123 	3.43993 	; 
	3441 	5233 	: 	1593 	49.019 	; 
	3441 	10263 	: 	1411.15 	12.9189 	; 
	3442 	3444 	: 	12.0375 	104.109 	; 
	3442 	6284 	: 	0 	13.5976 	; 
	3442 	7066 	: 	147 	44.4197 	; 
	3442 	7834 	: 	46 	23.8434 	; 
	3443 	3440 	: 	730.681 	24.1592 	; 
	3443 	6353 	: 	575.065 	20.2375 	; 
	3444 	3440 	: 	160 	26.496 	; 
	3444 	3442 	: 	147 	104.165 	; 
	3444 	4870 	: 	628.595 	52.2863 	; 
	3445 	6317 	: 	0 	9.99469 	; 
	3446 	8524 	: 	0 	17.5225 	; 
	3447 	813 	: 	376.133 	15.4462 	; 
	3447 	3109 	: 	330.331 	2.02419 	; 
	3447 	3110 	: 	0 	inf 	; 
	3447 	3449 	: 	1810.06 	5.07856 	; 
	3448 	3110 	: 	736.933 	15.006 	; 
	3448 	3577 	: 	0 	inf 	; 
	3448 	5323 	: 	198.6 	23.5243 	; 
	3449 	813 	: 	0 	inf 	; 
	3449 	2070 	: 	1810.06 	4.98536 	; 
	3449 	3447 	: 	330.331 	5.07227 	; 
	3449 	3577 	: 	153.4 	6.10991 	; 
	3450 	1232 	: 	1280.53 	13.251 	; 
	3450 	1256 	: 	5075.2 	8.95584 	; 
	3450 	3451 	: 	0 	inf 	; 
	3451 	3450 	: 	6355.73 	42.5773 	; 
	3451 	3452 	: 	0 	inf 	; 
	3452 	175 	: 	0 	inf 	; 
	3452 	3451 	: 	6355.73 	2.11287 	; 
	3453 	175 	: 	6355.73 	2.09622 	; 
	3453 	9115 	: 	0 	inf 	; 
	3454 	49 	: 	0 	inf 	; 
	3454 	4506 	: 	0 	25.3058 	; 
	3454 	9115 	: 	6081.2 	32.7082 	; 
	3455 	560 	: 	6902.87 	15.4377 	; 
	3455 	3456 	: 	0 	inf 	; 
	3456 	3455 	: 	6902.87 	1.6115 	; 
	3456 	9723 	: 	0 	inf 	; 
	3457 	57 	: 	0 	inf 	; 
	3457 	1734 	: 	9235.04 	1.71696 	; 
	3458 	1735 	: 	5726.53 	1.44974 	; 
	3458 	3459 	: 	0 	inf 	; 
	3459 	3458 	: 	5726.53 	12.6216 	; 
	3459 	3460 	: 	0 	inf 	; 
	3460 	3459 	: 	5726.53 	1.63421 	; 
	3460 	4790 	: 	0 	inf 	; 
	3461 	1471 	: 	2222.66 	8.61933 	; 
	3461 	1518 	: 	946.343 	13.2473 	; 
	3461 	5490 	: 	0 	inf 	; 
	3462 	4344 	: 	359.605 	37.8872 	; 
	3462 	8121 	: 	402.067 	84.8762 	; 
	3463 	3466 	: 	1607.04 	14.4238 	; 
	3463 	5920 	: 	0 	inf 	; 
	3464 	3465 	: 	0 	inf 	; 
	3464 	5918 	: 	862.187 	0.731619 	; 
	3465 	1219 	: 	0 	inf 	; 
	3465 	3464 	: 	862.187 	2.61118 	; 
	3466 	3463 	: 	0 	inf 	; 
	3466 	8633 	: 	1607.04 	4.82957 	; 
	3467 	9174 	: 	0 	inf 	; 
	3467 	9175 	: 	341.651 	3.22668 	; 
	3467 	9176 	: 	0 	4.57265 	; 
	3468 	3469 	: 	0 	6.31563 	; 
	3468 	3898 	: 	0 	inf 	; 
	3468 	9157 	: 	379.651 	4.58698 	; 
	3469 	3468 	: 	0 	inf 	; 
	3469 	3471 	: 	105.6 	29.4894 	; 
	3469 	9156 	: 	0 	inf 	; 
	3470 	387 	: 	105.6 	4.35194 	; 
	3470 	538 	: 	0 	6.36102 	; 
	3470 	5940 	: 	0 	inf 	; 
	3471 	3469 	: 	0 	inf 	; 
	3471 	3898 	: 	0 	7.8901 	; 
	3471 	5940 	: 	105.6 	5.51385 	; 
	3472 	538 	: 	0 	inf 	; 
	3472 	3898 	: 	379.651 	4.86362 	; 
	3472 	5940 	: 	0 	6.90303 	; 
	3473 	3476 	: 	0 	inf 	; 
	3473 	7173 	: 	1333.6 	8.99508 	; 
	3474 	3034 	: 	0 	inf 	; 
	3474 	7172 	: 	596.133 	23.4097 	; 
	3475 	3035 	: 	372.467 	12.189 	; 
	3475 	3037 	: 	0 	inf 	; 
	3476 	3035 	: 	0 	inf 	; 
	3476 	3473 	: 	1333.6 	15.1402 	; 
	3477 	3037 	: 	282 	20.071 	; 
	3477 	3478 	: 	0 	inf 	; 
	3478 	3036 	: 	0 	inf 	; 
	3478 	3477 	: 	282 	12.2327 	; 
	3479 	1787 	: 	0 	inf 	; 
	3479 	5012 	: 	0 	inf 	; 
	3479 	5018 	: 	-2.22045e-16 	2.0716 	; 
	3479 	5019 	: 	4740.89 	0.319866 	; 
	3480 	3147 	: 	0 	2.88499 	; 
	3480 	5558 	: 	0 	3.57802 	; 
	3481 	3484 	: 	0 	6.15016 	; 
	3481 	5141 	: 	0 	inf 	; 
	3481 	7751 	: 	994.935 	7.22239 	; 
	3482 	3483 	: 	0 	inf 	; 
	3482 	3750 	: 	12 	7.88045 	; 
	3483 	3482 	: 	12 	1.58145 	; 
	3483 	3486 	: 	0 	inf 	; 
	3484 	3481 	: 	0 	inf 	; 
	3484 	3485 	: 	0 	1.52546 	; 
	3485 	3484 	: 	0 	inf 	; 
	3485 	4994 	: 	0 	9.07094 	; 
	3486 	3483 	: 	12 	7.16314 	; 
	3486 	5110 	: 	0 	inf 	; 
	3486 	7752 	: 	1553.67 	9.30252 	; 
	3487 	2427 	: 	1450.97 	2.6091 	; 
	3487 	7664 	: 	1431.97 	0.793335 	; 
	3488 	3489 	: 	64 	14.0457 	; 
	3488 	5036 	: 	34 	13.8256 	; 
	3488 	8658 	: 	0 	inf 	; 
	3489 	3488 	: 	0 	inf 	; 
	3489 	5107 	: 	0 	inf 	; 
	3489 	5144 	: 	1879.73 	5.68903 	; 
	3490 	3007 	: 	1094.93 	52.0536 	; 
	3490 	3866 	: 	6 	1.30662 	; 
	3490 	9507 	: 	0 	inf 	; 
	3491 	5900 	: 	210.2 	0.746172 	; 
	3491 	6073 	: 	0 	inf 	; 
	3491 	7119 	: 	230.197 	26.8766 	; 
	3491 	8954 	: 	924.333 	8.78198 	; 
	3492 	2504 	: 	2583.4 	12.6667 	; 
	3492 	5219 	: 	333.1 	30.2023 	; 
	3493 	2295 	: 	0 	25.102 	; 
	3493 	3223 	: 	0 	2.58404 	; 
	3494 	1789 	: 	1970.94 	6.31347 	; 
	3494 	2425 	: 	1112.93 	4.55733 	; 
	3495 	4581 	: 	0 	inf 	; 
	3495 	8607 	: 	3991.37 	1.04969 	; 
	3496 	6033 	: 	0 	6.8367 	; 
	3496 	6922 	: 	134.867 	4.50285 	; 
	3497 	362 	: 	0 	inf 	; 
	3497 	3498 	: 	24 	5.36741 	; 
	3498 	363 	: 	0 	inf 	; 
	3498 	3497 	: 	0 	inf 	; 
	3498 	7784 	: 	138.2 	1.93731 	; 
	3499 	6872 	: 	0 	inf 	; 
	3499 	7783 	: 	0 	5.7558 	; 
	3500 	368 	: 	0 	8.29384 	; 
	3500 	5058 	: 	0 	inf 	; 
	3501 	1832 	: 	2343.71 	0.800406 	; 
	3501 	5788 	: 	0 	inf 	; 
	3502 	7019 	: 	2377.51 	2.23663 	; 
	3502 	8698 	: 	1978.97 	6.59774 	; 
	3503 	3504 	: 	1316.56 	3.66034 	; 
	3503 	9004 	: 	1875.67 	3.41329 	; 
	3504 	1858 	: 	1316.56 	7.25909 	; 
	3504 	3503 	: 	1875.67 	3.66197 	; 
	3505 	4615 	: 	0 	3.63605 	; 
	3505 	7520 	: 	82.2 	3.16466 	; 
	3506 	6137 	: 	260.933 	2.37911 	; 
	3506 	7399 	: 	887.467 	11.617 	; 
	3507 	2766 	: 	3428.33 	6.51153 	; 
	3507 	6225 	: 	7744.07 	0.974735 	; 
	3508 	516 	: 	10 	2.42422 	; 
	3508 	7344 	: 	0 	47.3004 	; 
	3509 	2512 	: 	0 	inf 	; 
	3509 	3011 	: 	132.8 	0.797311 	; 
	3509 	3012 	: 	0 	0.75733 	; 
	3510 	2420 	: 	279.433 	2.22196 	; 
	3510 	2421 	: 	604.773 	2.24474 	; 
	3510 	6568 	: 	0 	inf 	; 
	3511 	519 	: 	132.8 	2.97751 	; 
	3511 	3011 	: 	0 	0.982219 	; 
	3511 	3013 	: 	0 	inf 	; 
	3512 	7322 	: 	15.3333 	30.3502 	; 
	3512 	7379 	: 	63.1566 	5.3107 	; 
	3513 	4580 	: 	0 	inf 	; 
	3513 	8709 	: 	439.6 	3.92605 	; 
	3514 	1789 	: 	80 	5.50016 	; 
	3514 	3515 	: 	66.9251 	2.42848 	; 
	3515 	3514 	: 	80 	2.42848 	; 
	3515 	5930 	: 	66.9251 	12.6505 	; 
	3516 	7420 	: 	1145.93 	1.80225 	; 
	3516 	8606 	: 	0 	inf 	; 
	3517 	4577 	: 	0 	inf 	; 
	3517 	4584 	: 	2094.63 	0.723204 	; 
	3518 	7320 	: 	17.6 	30.0089 	; 
	3518 	7713 	: 	135 	4.01742 	; 
	3519 	7486 	: 	14.8 	1.05543 	; 
	3519 	7487 	: 	0 	inf 	; 
	3519 	9061 	: 	0 	1.74397 	; 
	3520 	5879 	: 	1301.46 	0.464256 	; 
	3520 	6096 	: 	1216.39 	1.80247 	; 
	3521 	4108 	: 	91.9333 	12.2946 	; 
	3521 	6025 	: 	730.433 	4.66021 	; 
	3521 	8650 	: 	0 	12.5888 	; 
	3521 	8760 	: 	0 	inf 	; 
	3522 	5869 	: 	250.533 	4.71727 	; 
	3522 	10517 	: 	301.2 	56.4905 	; 
	3523 	3200 	: 	742.369 	25.849 	; 
	3523 	5870 	: 	82.4 	4.4374 	; 
	3524 	1889 	: 	161.6 	43.9549 	; 
	3524 	5836 	: 	868.646 	5.10892 	; 
	3525 	3156 	: 	0 	1.46085 	; 
	3525 	8746 	: 	51.6 	4.91726 	; 
	3526 	5071 	: 	0 	inf 	; 
	3526 	5789 	: 	53.6 	16.5193 	; 
	3526 	9561 	: 	1642.16 	6.43717 	; 
	3527 	3042 	: 	0 	1.42641 	; 
	3527 	3375 	: 	0 	inf 	; 
	3527 	5671 	: 	2040.87 	9.15858 	; 
	3527 	8123 	: 	0 	60.2385 	; 
	3528 	180 	: 	0 	32.2016 	; 
	3528 	1575 	: 	0 	inf 	; 
	3528 	3976 	: 	0 	38.3764 	; 
	3528 	7253 	: 	355.533 	82.9928 	; 
	3528 	8571 	: 	639 	3.7543 	; 
	3529 	1576 	: 	105.333 	4.67635 	; 
	3529 	6083 	: 	197.6 	18.4283 	; 
	3529 	6726 	: 	52 	43.6586 	; 
	3530 	3531 	: 	169.533 	12.4213 	; 
	3530 	4352 	: 	50.8 	17.0668 	; 
	3530 	4354 	: 	141 	29.0252 	; 
	3530 	4868 	: 	0 	29.4028 	; 
	3531 	3530 	: 	94.6 	12.4199 	; 
	3531 	4325 	: 	337.6 	23.985 	; 
	3531 	4351 	: 	586.665 	12.3075 	; 
	3531 	4453 	: 	194.4 	25.5359 	; 
	3532 	3901 	: 	0 	51.3394 	; 
	3532 	4869 	: 	781.088 	14.8463 	; 
	3532 	5344 	: 	537.933 	13.3942 	; 
	3533 	8496 	: 	724.667 	81.4158 	; 
	3534 	3368 	: 	326 	12.2663 	; 
	3534 	4771 	: 	983.255 	14.8744 	; 
	3534 	4772 	: 	905.115 	5.14202 	; 
	3534 	6719 	: 	0 	13.6301 	; 
	3535 	228 	: 	3689.82 	6.01547 	; 
	3535 	452 	: 	1574.12 	9.41984 	; 
	3535 	2623 	: 	3124.18 	5.6321 	; 
	3535 	4276 	: 	140.463 	10.6174 	; 
	3536 	228 	: 	2216.48 	10.7957 	; 
	3536 	1844 	: 	0 	9.19878 	; 
	3536 	3343 	: 	1741.45 	6.1313 	; 
	3536 	4775 	: 	2139.68 	8.32648 	; 
	3537 	473 	: 	2806.21 	18.4543 	; 
	3537 	474 	: 	860.196 	9.78451 	; 
	3537 	2799 	: 	0 	inf 	; 
	3537 	4291 	: 	1593.14 	57.9544 	; 
	3537 	4293 	: 	32 	104.3 	; 
	3538 	222 	: 	48 	15.4364 	; 
	3538 	2058 	: 	92.5795 	5.98592 	; 
	3538 	4302 	: 	175.6 	2.26444 	; 
	3538 	10291 	: 	199.2 	5.70347 	; 
	3539 	84 	: 	48 	99.0987 	; 
	3539 	2675 	: 	100 	2.08751 	; 
	3539 	3540 	: 	0 	124.724 	; 
	3540 	3539 	: 	0 	124.724 	; 
	3540 	6885 	: 	0 	92.6721 	; 
	3541 	3361 	: 	0 	inf 	; 
	3541 	3542 	: 	77.2 	11.8965 	; 
	3541 	3631 	: 	4914.4 	2750.75 	; 
	3542 	3541 	: 	2053.04 	256.507 	; 
	3542 	5962 	: 	0 	inf 	; 
	3542 	9621 	: 	77.2 	13.6988 	; 
	3543 	513 	: 	551.733 	10.9485 	; 
	3543 	7316 	: 	475 	9.78487 	; 
	3544 	513 	: 	240.8 	4.33424 	; 
	3544 	3545 	: 	537.467 	11.105 	; 
	3545 	3544 	: 	240.8 	11.1049 	; 
	3545 	4078 	: 	537.467 	4.03589 	; 
	3546 	3059 	: 	1384.14 	5.50464 	; 
	3546 	4078 	: 	240.8 	9.5268 	; 
	3547 	2822 	: 	232.8 	1.68108 	; 
	3547 	4553 	: 	1384.14 	0.128416 	; 
	3548 	1546 	: 	0 	inf 	; 
	3548 	8767 	: 	2002.6 	0.678554 	; 
	3549 	2826 	: 	15.6 	0.981888 	; 
	3549 	2827 	: 	14 	3.29742 	; 
	3549 	5949 	: 	0 	inf 	; 
	3549 	7419 	: 	136.7 	27.3615 	; 
	3550 	1212 	: 	660.515 	1.31467 	; 
	3550 	1213 	: 	0 	0.355004 	; 
	3551 	1214 	: 	0 	inf 	; 
	3551 	3420 	: 	1714.25 	9.03761 	; 
	3551 	5210 	: 	2511.72 	2.30442 	; 
	3551 	8411 	: 	0 	inf 	; 
	3552 	1210 	: 	476.231 	3.27772 	; 
	3552 	3555 	: 	0 	2.71973 	; 
	3553 	4011 	: 	0 	4.40579 	; 
	3553 	8411 	: 	0 	inf 	; 
	3554 	1214 	: 	0 	inf 	; 
	3554 	6827 	: 	0 	16.8049 	; 
	3555 	1211 	: 	0 	1.13549 	; 
	3555 	3552 	: 	476.231 	2.71981 	; 
	3556 	534 	: 	0 	inf 	; 
	3556 	1214 	: 	1150.67 	3.02792 	; 
	3557 	4011 	: 	0 	2.48321 	; 
	3557 	9213 	: 	8.88178e-16 	9.21882 	; 
	3558 	3177 	: 	0 	1.13475 	; 
	3558 	8805 	: 	0 	17.3841 	; 
	3559 	588 	: 	0 	inf 	; 
	3559 	2837 	: 	30 	2.33366 	; 
	3560 	530 	: 	0 	inf 	; 
	3560 	4568 	: 	16 	1.69889 	; 
	3561 	2825 	: 	2886.78 	3.6908 	; 
	3561 	3563 	: 	0 	inf 	; 
	3562 	1315 	: 	641.467 	2.74212 	; 
	3562 	1317 	: 	188.8 	2.58219 	; 
	3562 	4579 	: 	0 	inf 	; 
	3563 	3561 	: 	2886.78 	2.27248 	; 
	3563 	8709 	: 	0 	inf 	; 
	3564 	8782 	: 	0 	3.11379 	; 
	3564 	8784 	: 	34 	4.27888 	; 
	3565 	8804 	: 	0 	inf 	; 
	3565 	8805 	: 	0 	2.38454 	; 
	3566 	4530 	: 	472.133 	1.48355 	; 
	3566 	6700 	: 	22 	3.08556 	; 
	3567 	536 	: 	2554.67 	2.2167 	; 
	3567 	4532 	: 	140 	1.61586 	; 
	3568 	4580 	: 	0 	inf 	; 
	3568 	8606 	: 	8.88178e-16 	8.95442 	; 
	3569 	1319 	: 	0 	inf 	; 
	3569 	1320 	: 	0 	inf 	; 
	3569 	8605 	: 	70.0368 	1.68036 	; 
	3570 	3029 	: 	872.6 	5.65818 	; 
	3570 	3032 	: 	988.992 	2.88619 	; 
	3571 	3416 	: 	0 	inf 	; 
	3571 	8605 	: 	4292.54 	2.31159 	; 
	3572 	2022 	: 	274.4 	1.31262 	; 
	3572 	8737 	: 	0 	inf 	; 
	3573 	3411 	: 	3689.51 	9.02155 	; 
	3573 	8609 	: 	0 	inf 	; 
	3574 	5294 	: 	116.8 	1.7009 	; 
	3574 	7480 	: 	525.2 	2.06367 	; 
	3574 	9086 	: 	0 	1.82662 	; 
	3575 	7482 	: 	14.8 	8.7945 	; 
	3575 	7483 	: 	1369.26 	24.1173 	; 
	3576 	2372 	: 	883.833 	3.20304 	; 
	3576 	2881 	: 	77.2 	0.288075 	; 
	3577 	2070 	: 	0 	inf 	; 
	3577 	3448 	: 	198.6 	16.5058 	; 
	3577 	3449 	: 	0 	inf 	; 
	3578 	5511 	: 	864.667 	6.48129 	; 
	3578 	5516 	: 	0 	inf 	; 
	3579 	1190 	: 	2918.49 	7.41251 	; 
	3579 	8075 	: 	0 	inf 	; 
	3580 	5444 	: 	0 	55.9757 	; 
	3580 	5872 	: 	0 	41.6071 	; 
	3581 	7587 	: 	324.867 	15.923 	; 
	3581 	7708 	: 	49.2 	7.35238 	; 
	3582 	7785 	: 	1022.14 	4.5626 	; 
	3582 	9674 	: 	2195.32 	3.90026 	; 
	3583 	5826 	: 	0 	161.232 	; 
	3583 	9472 	: 	0 	4.6448 	; 
	3584 	906 	: 	0 	6.45439 	; 
	3584 	10283 	: 	0 	31.9928 	; 
	3585 	6086 	: 	66 	41.5011 	; 
	3585 	9840 	: 	25 	6.5152 	; 
	3586 	3940 	: 	686.033 	5.40729 	; 
	3586 	7216 	: 	109.933 	57.659 	; 
	3587 	4170 	: 	0 	inf 	; 
	3587 	4171 	: 	2981.12 	4.51623 	; 
	3588 	5932 	: 	247.933 	38.5501 	; 
	3588 	6666 	: 	220.533 	3.5751 	; 
	3589 	6313 	: 	295.8 	56.393 	; 
	3589 	10289 	: 	441.733 	7.51684 	; 
	3590 	6114 	: 	497.667 	5.98562 	; 
	3590 	7560 	: 	522.733 	6.1794 	; 
	3591 	6084 	: 	240.4 	7.78182 	; 
	3591 	6889 	: 	169.6 	21.3628 	; 
	3592 	8640 	: 	15.6 	3.86047 	; 
	3592 	9738 	: 	64.5333 	3.47823 	; 
	3593 	7218 	: 	0 	inf 	; 
	3593 	7219 	: 	2993.15 	19.2648 	; 
	3593 	8671 	: 	404.231 	6.89661 	; 
	3594 	1682 	: 	173.133 	8.67533 	; 
	3594 	5370 	: 	1015.93 	10.4208 	; 
	3595 	4857 	: 	777.031 	8.10379 	; 
	3595 	8996 	: 	254.067 	39.9955 	; 
	3596 	6008 	: 	857.467 	14.9086 	; 
	3596 	7378 	: 	1908.44 	3.72987 	; 
	3597 	6126 	: 	226.6 	2.61081 	; 
	3597 	6824 	: 	1203.17 	3.11052 	; 
	3598 	6376 	: 	360.5 	2.96166 	; 
	3598 	6455 	: 	0 	3.42787 	; 
	3599 	3600 	: 	4642.46 	1.07835 	; 
	3599 	3813 	: 	3140.13 	0.638899 	; 
	3600 	3599 	: 	3140.13 	1.03485 	; 
	3600 	7866 	: 	4642.46 	33.9911 	; 
	3601 	5759 	: 	937.067 	15.2055 	; 
